latitude,longitude,bright_ti4,bright_ti5,thermal_difference,frp,frp_log,confidence_score,hour,day_of_week,day_of_year,detection_count,days_detected,avg_frp,max_frp,persistence
11.45934,79.18013,331.81,304.5,27.310000000000002,1.85,1.0473189942805592,0.33,8,5,241,1,1,1.85,1.85,Transient
11.63834,77.61632,332.91,301.31,31.600000000000023,3.44,1.4906543764441333,0.66,8,5,241,1,1,3.44,3.44,Transient
12.03365,79.08008,335.61,304.57,31.04000000000002,6.0,1.9459101490553132,0.66,8,5,241,2,1,5.545,6.0,Transient
12.03421,79.08394,335.8,305.53,30.27000000000004,5.09,1.8066480817218056,0.66,8,5,241,2,1,5.545,6.0,Transient
12.15724,79.71613,336.86,304.83,32.03000000000003,5.78,1.9139771019523042,0.66,8,5,241,1,1,5.78,5.78,Transient
12.17833,79.73863,346.04,305.27,40.77000000000004,12.19,2.579458966729223,0.66,8,5,241,2,1,11.9,12.19,Transient
12.17855,79.73819,345.4,305.64,39.75999999999999,11.61,2.534490149976828,0.66,8,5,241,2,1,11.9,12.19,Transient
12.46093,79.10439,332.34,303.76,28.579999999999984,2.1,1.1314021114911006,0.33,8,5,241,1,1,2.1,2.1,Transient
12.62554,77.69179,330.23,301.16,29.069999999999993,2.07,1.1216775615991057,0.33,8,5,241,1,1,2.07,2.07,Transient
12.78404,79.31249,338.53,300.19,38.339999999999975,8.47,2.248128907197987,0.66,8,5,241,1,1,8.47,8.47,Transient
12.81844,79.32784,330.65,298.71,31.939999999999998,2.38,1.2178757094949273,0.66,8,5,241,1,1,2.38,2.38,Transient
12.8281,79.57608,338.2,302.42,35.77999999999997,9.18,2.3204250111223765,0.66,8,5,241,1,1,9.18,9.18,Transient
13.38702,78.08879,333.31,301.85,31.45999999999998,1.87,1.0543120297715298,0.66,8,5,241,1,1,1.87,1.87,Transient
10.93692,78.46759,317.71,290.06,27.649999999999977,2.94,1.3711807233098425,0.66,20,5,241,3,1,4.41,6.07,Transient
10.94139,78.46842,329.14,289.92,39.21999999999997,4.22,1.6524974018945473,0.66,20,5,241,3,1,4.41,6.07,Transient
11.58347,77.52039,316.58,287.12,29.45999999999998,1.7,0.9932517730102833,0.66,20,5,241,1,1,1.7,1.7,Transient
8.67362,78.03297,305.07,283.77,21.30000000000001,1.52,0.9242589015233319,0.66,20,5,241,1,1,1.52,1.52,Transient
9.30188,77.40331,309.77,290.41,19.359999999999957,0.96,0.6729444732424258,0.66,20,5,241,1,1,0.96,0.96,Transient
9.75441,77.52235,304.88,288.71,16.170000000000016,3.36,1.4724720573609429,0.66,20,5,241,3,1,4.496666666666666,6.77,Transient
9.75514,77.5182,336.79,290.51,46.28000000000003,3.36,1.4724720573609429,0.66,20,5,241,3,1,4.496666666666666,6.77,Transient
